Data.Date,Demand..MW.
2017-08-06,16757.416666666668
2017-08-07,18321.958333333332
2017-08-08,18747.083333333332
2017-08-09,19818.375
2017-08-10,20721.333333333332
2017-08-11,20258.208333333332
2017-08-12,18683.083333333332
2017-08-13,19090.041666666668
2017-08-14,20600.333333333332
2017-08-15,20557.333333333332
2017-08-16,21219.541666666668
2017-08-17,20729.958333333332
2017-08-18,22471.5
2017-08-19,20817.041666666668
2017-08-20,19403.833333333332
2017-08-21,22037.291666666668
2017-08-22,23932.083333333332
2017-08-23,21162.416666666668
2017-08-24,19180.625
2017-08-25,18429.291666666668
2017-08-26,16564.875
2017-08-27,16121.166666666666
2017-08-28,17898.666666666668
2017-08-29,17470.625
2017-08-30,17669.25
2017-08-31,18351.833333333332
2017-09-01,16547.166666666668
2017-09-02,14923.083333333334
2017-09-03,15047.0
2017-09-04,16151.25
2017-09-05,19642.083333333332
2017-09-06,18319.958333333332
2017-09-07,17238.958333333332
2017-09-08,16683.458333333332
2017-09-09,15101.875
2017-09-10,14926.583333333334
2017-09-11,16898.583333333332
2017-09-12,17624.25
2017-09-13,18475.916666666668
2017-09-14,19782.458333333332
2017-09-15,20024.625
2017-09-16,18730.125
2017-09-17,18295.916666666668
2017-09-18,19745.5
2017-09-19,19602.083333333332
2017-09-20,19666.708333333332
2017-09-21,19669.416666666668
2017-09-22,18743.333333333332
2017-09-23,18247.208333333332
2017-09-24,19568.125
2017-09-25,22115.75
2017-09-26,21666.625
2017-09-27,22241.916666666668
2017-09-28,19308.333333333332
2017-09-29,16604.416666666668
2017-09-30,15085.416666666666
2017-10-01,14553.083333333334
2017-10-02,16309.875
2017-10-03,16554.958333333332
2017-10-04,17020.041666666668
2017-10-05,17970.958333333332
2017-10-06,18354.125
2017-10-07,17402.75
2017-10-08,17748.291666666668
2017-10-09,19399.083333333332
2017-10-10,19139.583333333332
2017-10-11,17937.541666666668
2017-10-12,16664.0
2017-10-13,16252.083333333334
2017-10-14,15581.541666666666
2017-10-15,15813.833333333334
2017-10-16,16287.791666666666
2017-10-17,16085.791666666666
2017-10-18,16168.916666666666
2017-10-19,16302.333333333334
2017-10-20,16090.666666666666
2017-10-21,14941.5
2017-10-22,14808.333333333334
2017-10-23,16933.166666666668
2017-10-24,17623.583333333332
2017-10-25,16569.25
2017-10-26,16181.958333333334
2017-10-27,15930.541666666666
2017-10-28,14904.916666666666
2017-10-29,15292.541666666666
2017-10-30,16340.208333333334
2017-10-31,16351.541666666666
2017-11-01,16733.291666666668
2017-11-02,16759.416666666668
2017-11-03,16563.166666666668
2017-11-04,15121.625
2017-11-05,15167.72
2017-11-06,16687.166666666668
2017-11-07,16854.25
2017-11-08,17050.416666666668
2017-11-09,17088.125
2017-11-10,17538.208333333332
2017-11-11,16975.125
2017-11-12,16301.833333333334
2017-11-13,17505.833333333332
2017-11-14,17503.375
2017-11-15,17304.916666666668
2017-11-16,17188.0
2017-11-17,17320.0
2017-11-18,16542.916666666668
2017-11-19,15933.5
2017-11-20,17688.333333333332
2017-11-21,17133.0
2017-11-22,17278.791666666668
2017-11-23,15917.75
2017-11-24,16020.125
2017-11-25,15602.75
2017-11-26,15882.875
2017-11-27,17524.541666666668
2017-11-28,17529.916666666668
2017-11-29,17034.041666666668
2017-11-30,17584.666666666668
2017-12-01,17036.666666666668
2017-12-02,16375.833333333334
2017-12-03,16202.541666666666
2017-12-04,17519.416666666668
2017-12-05,17402.083333333332
2017-12-06,17534.208333333332
2017-12-07,17900.125
2017-12-08,18235.333333333332
2017-12-09,17666.083333333332
2017-12-10,17402.333333333332
2017-12-11,18561.583333333332
2017-12-12,18729.458333333332
2017-12-13,19888.375
2017-12-14,19912.708333333332
2017-12-15,20118.25
2017-12-16,18632.041666666668
2017-12-17,18083.583333333332
2017-12-18,18854.708333333332
2017-12-19,18103.291666666668
2017-12-20,18408.625
2017-12-21,18780.0
2017-12-22,18797.375
2017-12-23,17465.041666666668
2017-12-24,16777.458333333332
2017-12-25,16900.0
2017-12-26,19358.125
2017-12-27,20298.291666666668
2017-12-28,21105.625
2017-12-29,20900.375
2017-12-30,20013.625
2017-12-31,20194.916666666668
2018-01-01,20383.625
2018-01-02,21324.833333333332
2018-01-03,20810.541666666668
2018-01-04,20828.125
2018-01-05,21910.041666666668
2018-01-06,21518.541666666668
2018-01-07,20909.75
2018-01-08,20725.916666666668
2018-01-09,19514.458333333332
2018-01-10,19150.625
2018-01-11,18220.666666666668
2018-01-12,17643.958333333332
2018-01-13,17860.916666666668
2018-01-14,19146.833333333332
2018-01-15,20378.0
2018-01-16,19939.791666666668
2018-01-17,19800.458333333332
2018-01-18,20167.083333333332
2018-01-19,19434.083333333332
2018-01-20,17238.0
